title,price,price_label,mileage,first_registration,transmission,fuel_type,power,consumption,cO2_emissions
Citroen Berlingo Shine XL 1.5 BlueHDi 130 FAP,19290.0,Fairer Preis,111370.0,09/2020,Schaltgetriebe,Diesel,96 kW (131 PS),"5,6 l/100 km (komb.)",146 g/km (komb.)
Citroen Berlingo M PureTech 110 SHINE Panoramadach,19490.0,Fairer Preis,48200.0,05/2019,Schaltgetriebe,Benzin,81 kW (110 PS),"5,4 l/100 km (komb.)",124 g/km (komb.)
Citroen Berlingo Feel 1.5 Diesel/SHZ/KLIMA/CAM,19490.0,Fairer Preis,29245.0,11/2020,Schaltgetriebe,Diesel,75 kW (102 PS),"4,1 l/100 km (komb.)",107 g/km (komb.)
Citroen Berlingo PureTech 110 XTR EU6d-T,19490.0,Fairer Preis,62766.0,05/2019,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
Citroen Berlingo Shine M 5Sitze  CarPlay LED SHZ PDC AHK,19500.0,Sehr guter Preis,78000.0,02/2021,Automatik,Diesel,96 kW (131 PS),"4,2 l/100 km (komb.)",111 g/km (komb.)
Citroen Berlingo Berlingo Kombi Diesel 5-Türer M BlueHDi 100FEEL,19500.0,Sehr guter Preis,59000.0,05/2021,Schaltgetriebe,Diesel,75 kW (102 PS),"4,3 l/100 km (komb.)",116 g/km (komb.)
Citroen Berlingo eBerlingo M LivePack Elektro Klima Einparkhilfe,19690.0,Guter Preis,15318.0,12/2022,Automatik,Elektro,100 kW (136 PS),"20,5 kWh/100 km (komb.)",0 g/km (komb.)
Citroen Berlingo XTR Pack XL | PDC+Kamera | AHK | 16`Alu,19800.0,Fairer Preis,99000.0,05/2021,Schaltgetriebe,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo Berlingo+MPV+M+BlueHDi+100+LIVE+PACK,19800.0,Guter Preis,24000.0,12/2022,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),- (g/km)
Citroen Berlingo Berlingo MPV M BlueHDi 100 LIVE PACK,19800.0,Guter Preis,24000.0,12/2022,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),- (g/km)
Citroen Berlingo Shine M/AHZV/Sitzh./Kamera/HeadUp,19890.0,Fairer Preis,92695.0,08/2020,Automatik,Benzin,96 kW (131 PS),"5,6 l/100 km (komb.)",127 g/km (komb.)
"Citroen Berlingo M BlueHDi 130 SHINE, AHK, Kamera, Sitzh",19900.0,Erhöhter Preis,121800.0,12/2020,Schaltgetriebe,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo Shine M Automatik PANO-AHK-KAMERA,19900.0,Guter Preis,88000.0,08/2019,Automatik,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",115 g/km (komb.)
Citroen Berlingo Shine M  | 1.HAND| PANO-DACH | HEAD-UP,19900.0,Guter Preis,107960.0,03/2021,Automatik,Diesel,96 kW (131 PS),"4,5 l/100 km (komb.)",118 g/km (komb.)
"Citroen Berlingo Feel M, AHK, get.Heckscheibe",19950.0,Keine Angabe,69247.0,01/2020,Schaltgetriebe,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",112 g/km (komb.)
"Citroen Berlingo 1,2 PureTech 110 Feel NAVI DAB PDC",19950.0,Fairer Preis,17421.0,06/2021,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
Citroen Berlingo M PureTech EAT8 Shine,19980.0,Keine Angabe,68512.0,05/2020,Automatik,Benzin,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo Feel Pack M *Automatik*,19990.0,Sehr guter Preis,88499.0,05/2021,Automatik,Benzin,96 kW (131 PS),"6,4 l/100 km (komb.)",127 g/km (komb.)
Citroen Berlingo S&S FEEL 360Kam*Tempo*Klimaauto,19990.0,Fairer Preis,49960.0,05/2021,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),145 g/km (komb.)
Citroen Berlingo Live Pack M Elektro,19990.0,Sehr guter Preis,16397.0,03/2023,Automatik,Elektro,100 kW (136 PS),"20,5 kWh/100 km (komb.)",0 g/km (komb.)
