title,price,price_label,mileage,first_registration,transmission,fuel_type,power,consumption,cO2_emissions
Citroen Berlingo 1.6 Kasten PDC 2 Schiebetüren nur 77tkm,10990.0,Erhöhter Preis,77000.0,12/2016,Schaltgetriebe,Benzin,72 kW (98 PS),- (l/100 km),- (g/km)
Citroen Berlingo 1.5 BlueHDi 75 M Control,11490.0,Sehr guter Preis,44000.0,05/2019,Schaltgetriebe,Diesel,56 kW (76 PS),- (l/100 km),- (g/km)
"Citroen Berlingo Berlingo Kasten 1,2i*Navi*Klimaauto.*Kamera*",11500.0,Guter Preis,91373.0,02/2020,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",121 g/km (komb.)
Citroen Berlingo 1.2 Puretech 110 M S&S EHZ Control,11500.0,Sehr guter Preis,45000.0,11/2019,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",121 g/km (komb.)
Citroen Berlingo Kasten Club M/L1*AC*PDC*R-CAM,11500.0,Erhöhter Preis,139000.0,11/2019,Schaltgetriebe,Diesel,55 kW (75 PS),"4,2 l/100 km (komb.)",112 g/km (komb.)
Citroen Berlingo 1.6 BlueHDI L2 Business Aut. *AHK*PDC*,11750.0,Fairer Preis,99350.0,09/2017,Automatik,Diesel,73 kW (99 PS),- (l/100 km),- (g/km)
"Citroen Berlingo Club M L1,1 HAND!,erst 47tkm!,PDC,Klima",11850.0,Sehr guter Preis,47000.0,10/2019,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",- (g/km)
Citroen Berlingo Kasten AUTOMATIK AHK NAVI LKW ZUL.,11900.0,Sehr guter Preis,90238.0,08/2018,Automatik,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",110 g/km (komb.)
Citroen Berlingo Kasten Club M/L1 /,11900.0,Sehr guter Preis,54000.0,10/2020,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",121 g/km (komb.)
Citroen Berlingo Kasten Worker M/L1 1. Hand 1.5 BlueHDI,11980.0,Guter Preis,66544.0,10/2020,Schaltgetriebe,Diesel,56 kW (76 PS),"4,3 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo 1.5 BlueHDi 75 M Control,11990.0,Guter Preis,55995.0,07/2020,Schaltgetriebe,Diesel,56 kW (76 PS),- (l/100 km),- (g/km)
Citroen Berlingo Kasten 1.2 Club M/L1 Klima PDC Tempomat,11990.0,Sehr guter Preis,100000.0,01/2021,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",121 g/km (komb.)
Citroen Berlingo Business L1,11990.0,Erhöhter Preis,101000.0,02/2018,Schaltgetriebe,Diesel,73 kW (99 PS),- (l/100 km),- (g/km)
Citroen Berlingo Kasten Worker XL L2 1.5 BlueHDi Cam+PDC+Klima+BT+,11990.0,Guter Preis,125300.0,02/2020,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),156 g/km (komb.)
Citroen Berlingo L2 Proline,11999.0,Keine Angabe,137037.0,05/2015,Schaltgetriebe,Diesel,66 kW (90 PS),"5,5 l/100 km (komb.)",146 g/km (komb.)
