title,price,price_label,mileage,first_registration,transmission,fuel_type,power_kW,power_PS,consumption,co2_emissions,vehicle_type,age_months,age_years
Citroen Berlingo Selection mit 2 Schiebetüren,10880,Fairer Preis,78113,2015-08-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,117,9
Citroen Berlingo Kombi 1.6 HDi Selection,10890,Fairer Preis,118813,2017-07-01,Schaltgetriebe,Diesel,73,99,4.1,109.0,minivan,94,7
Citroen Berlingo 1.6  Blue-HDI Multispace Automa. Klima,10950,Fairer Preis,119200,2017-07-01,Automatik,Diesel,73,99,4.2,109.0,minivan,94,7
Citroen Berlingo SELECTION*5 SITZE*2xSCHIEBETÜR*EINPARKHILFE,10950,Fairer Preis,97500,2014-06-01,Schaltgetriebe,Diesel,84,114,5.3,,minivan,131,10
Citroen Berlingo Multispace Blue HDi 100 Selection,10950,Fairer Preis,135300,2016-06-01,Schaltgetriebe,Diesel,73,99,,,minivan,107,8
"Citroen Berlingo Citroën Berlingo Multispace 1,6 HDi Navi AHK PDC",10980,Guter Preis,118984,2017-11-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,90,7
Citroen Berlingo Kombi Selection *MIT 2 JAHRE GARANTIE*,10980,Fairer Preis,129000,2014-11-01,Automatik,Diesel,68,92,5.0,115.0,minivan,126,10
Citroen Berlingo Kombi Selection 1.6 HDI /NAVI/LED/PDC,10990,Keine Angabe,147000,2017-08-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,93,7
Citroen Berlingo Selection/Scheckheft/1 Hand,10999,Sehr guter Preis,70000,2016-11-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,102,8
Citroen Berlingo Multispace BlueHDi 100 S,11100,Fairer Preis,110000,2016-05-01,Schaltgetriebe,Diesel,73,99,4.1,109.0,minivan,108,9
Citroen Berlingo Feel XL 7Sitze,11299,Fairer Preis,160000,2019-05-01,Schaltgetriebe,Benzin,81,110,5.5,125.0,minivan,72,6
Citroen Berlingo Automatik /TUV AU Neu/5xSitzplätze /TOP Zustand,11399,Sehr guter Preis,113000,2016-10-01,Automatik,Diesel,73,99,4.2,109.0,minivan,103,8
Citroen Berlingo Multispace PureTech 110 SHINE,11470,Fairer Preis,100158,2017-06-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,95,7
Citroen Berlingo Kombi 1.6 BlueHDi 120 FAP Shine AHK PDC,11490,Sehr guter Preis,132600,2018-07-01,Schaltgetriebe,Diesel,88,120,,,minivan,82,6
Citroen Berlingo Kombi XTR*SHZ/GRA/PDC/Klima/Licht&Sicht,11490,Fairer Preis,153156,2017-09-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,92,7
Citroen Berlingo Multispace Behindertenger. Rampe Rollst,11490,Keine Angabe,265000,2012-04-01,Schaltgetriebe,Diesel,82,111,5.3,140.0,minivan,157,13
"Citroen Berlingo Kombi Selection. Garantie , Neue TÜV",11499,Fairer Preis,90200,2017-01-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,100,8
